distance_km,empreinte_train_kg,empreinte_avion_kg,ratio_co2,operateur,pays_operateur,trajet_id,gare_depart,gare_arrivee,heure_depart,heure_arrivee,type_service
1212.0,21.7,191.496,0.1133,Укрзалізниця,UA,UZ 073,Kharkiv,Przemyśl Gł.,1899-12-30T13:32:00.000Z,1899-12-30T11:16:00.000Z,NUIT
840.0,16.6,132.72,0.1251,Укрзалізниця,UA,UZ 036 Š,Odesa Holovna,Przemyśl Gł.,1899-12-30T14:45:00.000Z,1899-12-30T05:53:00.000Z,NUIT
712.0,2.0,112.496,0.0178,SNCF Voyageurs SA,FR,SNCF IC Nuit 3755,Paris Austerlitz,Rodez,1899-12-30T19:27:00.000Z,1899-12-30T07:08:00.000Z,NUIT
1168.0,12.8,184.544,0.0694,ÖBB-Personenverkehr AG,AT,ÖBB NJ 40469,Paris Est,Berlin Hbf,1899-12-30T19:12:00.000Z,1899-12-30T08:26:00.000Z,NUIT
820.0,16.5,129.56,0.1274,Trenitalia S.p.A,IT,FS IC Notte 1959 (S),Roma Termini,Siracusa,1899-12-30T23:00:00.000Z,1899-12-30T11:29:00.000Z,NUIT
526.0,12.7,83.108,0.1528,C.F.R. Călători S.A.,RO,CFR 1954,Constanța,Suceava Nord,1899-12-30T23:30:00.000Z,1899-12-30T07:16:00.000Z,NUIT
529.0,4.7,83.582,0.0562,Železničná spoločnosť Slovensko a.s.,SK,ZSSK R 680,Humenné,Bratislava hl.st.,1899-12-30T21:51:00.000Z,1899-12-30T05:33:00.000Z,NUIT
502.0,12.048,79.036,0.1524,БДЖ - Пътнически превози ЕООД,BG,JOUR_BDZ_4720,Sofia,Plovdiv,1899-12-30T07:30:00.000Z,1899-12-30T11:05:00.000Z,JOUR
677.0,6.5,106.966,0.0608,HŽ Putnički prijevoz d.o.o.,HR,HŽPP 1881,Split,Osijek,1899-12-30T22:23:00.000Z,1899-12-30T12:04:00.000Z,NUIT
605.0,12.4,95.59,0.1297,БДЖ - Пътнически превози ЕООД,BG,BDŽ 9646,Silistra,Sofia,1899-12-30T18:20:00.000Z,1899-12-30T05:46:00.000Z,NUIT
1036.0,16.6,163.688,0.1014,Укрзалізниця,UA,UZ 099,Kyiv Pasazhyrskyi,București Nord,1899-12-30T06:30:00.000Z,1899-12-30T06:47:00.000Z,NUIT
