distance_km,empreinte_train_kg,empreinte_avion_kg,ratio_co2,operateur,pays_operateur,trajet_id,gare_depart,gare_arrivee,heure_depart,heure_arrivee,type_service
867.0,17.7,136.986,0.1292,Trenitalia S.p.A,IT,FS IC Notte 1958,Palermo Centrale,Roma Termini,1899-12-30T21:10:00.000Z,1899-12-30T09:51:00.000Z,NUIT
867.0,16.658839,136.986,0.1216,Укрзалізниця,UA,UZ 067,Kyiv Pasazhyrskyi,Warszawa Wschodnia,1899-12-30T20:21:00.000Z,1899-12-30T10:11:00.000Z,NUIT
1238.0,16.9,195.604,0.0864,Укрзалізниця,UA,UZ 041,Dnipro Holovny,Truskavets,1899-12-30T14:35:00.000Z,1899-12-30T11:13:00.000Z,NUIT
922.0,15.4,145.676,0.1057,Укрзалізниця,UA,UZ 081 L,Uzhhorod,Kyiv Pasazhyrskyi,1899-12-30T16:17:00.000Z,1899-12-30T08:32:00.000Z,NUIT
652.0,0.75,103.016,0.0073,SJ AB,SE,SJ 70 (D),Stockholm C,Duved,1899-12-30T22:39:00.000Z,1899-12-30T09:17:00.000Z,NUIT
1144.0,16.2,180.752,0.0896,European Sleeper Cooperatïe,NL,ES 455,Milano Centrale,Amsterdam Centraal,,,NUIT
488.0,7.7,77.104,0.0999,Укрзалізниця,UA,UZ 075,Kyiv Pasazhyrskyi,Kryvyi Rih,1899-12-30T20:13:00.000Z,1899-12-30T05:57:00.000Z,NUIT
845.0,23.66,133.51,0.1772,TCDD Taşımacılık A.Ş.,TR,JOUR_TCDD_371,Istanbul Halkali,Konya,1899-12-30T07:45:00.000Z,1899-12-30T14:08:00.000Z,JOUR
711.0,17.1,112.338,0.1522,C.F.R. Călători S.A.,RO,CFR 1744/79,Oradea,București Nord,1899-12-30T18:04:00.000Z,1899-12-30T08:42:00.000Z,NUIT
567.0,12.0,89.586,0.1339,TCDD Taşımacılık A.Ş.,TR,TCDD 22001,Ankara,İstanbul Halkalı,1899-12-30T22:00:00.000Z,1899-12-30T06:19:00.000Z,NUIT
1185.0,24.7,187.23,0.1319,PKP Intercity S.A.,PL,PKP/ČD EN 40417,Przemyśl Gł.,München Hbf,1899-12-30T17:51:00.000Z,1899-12-30T10:24:00.000Z,NUIT
1112.0,16.0,175.696,0.0911,ÖBB-Personenverkehr AG,AT,ÖBB NJ 40233,Wien Hbf,Roma Tiburtina,1899-12-30T19:18:00.000Z,1899-12-30T10:05:00.000Z,NUIT
539.0,11.0,85.162,0.1292,БДЖ - Пътнически превози ЕООД,BG,BDŽ 8657,Sofia,Varna,1899-12-30T20:55:00.000Z,1899-12-30T06:00:00.000Z,NUIT
698.0,13.98,110.254,0.1268,Укрзалізниця,UA,JOUR_UZ_1721,Lviv,Kyiv Pasazhyrskyi,1899-12-30T14:20:00.000Z,1899-12-30T20:03:00.000Z,JOUR
412.0,10.3,65.096,0.1582,Trenitalia S.p.A,IT,JOUR_FS_5470,Roma Termini,Torino Porta Nuova,1899-12-30T16:10:00.000Z,1899-12-30T20:02:00.000Z,JOUR
1456.0,1.4,230.048,0.0061,SJ AB,SE,SJ Nattåg 93 (N),Narvik,Stockholm C,1899-12-30T15:11:00.000Z,1899-12-30T10:09:00.000Z,NUIT
934.0,20.548,147.572,0.1392,C.F.R. Călători S.A.,RO,JOUR_CFR_213,Bucuresti Nord,Cluj-Napoca,1899-12-30T07:15:00.000Z,1899-12-30T13:38:00.000Z,JOUR
513.0,2.565,81.054,0.0316,SNCF Voyageurs SA,FR,JOUR_SNCF_9883,Marseille Saint-Charles,Paris Gare de Lyon,1899-12-30T15:20:00.000Z,1899-12-30T18:22:00.000Z,JOUR
745.0,12.6,117.71,0.107,Železničná spoločnosť Slovensko a.s.,SK,ZSSK EN 442,Humenné,Praha hl.n.,1899-12-30T19:31:00.000Z,1899-12-30T07:46:00.000Z,NUIT
1477.0,25.8,233.366,0.1106,Укрзалізниця,UA,UZ/ÖBB 40149,Wien Hbf,Kyiv Pasazhyrskyi,1899-12-30T16:42:00.000Z,1899-12-30T18:36:00.000Z,NUIT
526.0,12.7,83.108,0.1528,C.F.R. Călători S.A.,RO,CFR 1952,Suceava Nord,Constanța,1899-12-30T20:25:00.000Z,1899-12-30T03:59:00.000Z,NUIT
758.0,14.8,119.764,0.1236,C.F.R. Călători S.A.,RO,CFR 1642 (SM),Satu Mare,București Nord,1899-12-30T16:20:00.000Z,1899-12-30T06:20:00.000Z,NUIT
534.0,18.69,84.372,0.2215,MÁV-START Vasúti Személyszállító Zrt.,HU,JOUR_MAV_2651,Miskolc,Budapest Keleti,1899-12-30T13:52:00.000Z,1899-12-30T18:15:00.000Z,JOUR
1029.0,18.5,162.582,0.1138,Укрзалізниця,UA,UZ 037,Uzhhorod,Odesa Holovna,1899-12-30T19:27:00.000Z,1899-12-30T12:55:00.000Z,NUIT
556.0,0.18,87.848,0.002,SJ Norge AS,NO,SJN 405,Oslo S,Trondheim,1899-12-30T22:50:00.000Z,1899-12-30T06:24:00.000Z,NUIT
723.0,15.183,114.234,0.1329,Железнице Србије ад,RS,JOUR_ZS_175,Beograd Centar,Nis,1899-12-30T07:35:00.000Z,1899-12-30T13:18:00.000Z,JOUR
1481.0,16.1,233.998,0.0688,Merresor AB,DE,ST 301,Berlin Hbf,Stockholm C,1899-12-30T21:10:00.000Z,1899-12-30T13:20:00.000Z,NUIT
1427.0,30.5,225.466,0.1353,Trenitalia S.p.A,IT,FS IC Notte 1964,Palermo Centrale,Milano Centrale,1899-12-30T12:58:00.000Z,1899-12-30T10:10:00.000Z,NUIT
614.0,0.67,97.012,0.0069,SJ AB,SE,SJ 1,Stockholm C,Malmö C,1899-12-30T23:10:00.000Z,1899-12-30T06:59:00.000Z,NUIT
1092.0,22.1,172.536,0.1281,Trenitalia S.p.A,IT,FS IC Notte 765,Milano Centrale,Bari Centrale,1899-12-30T21:15:00.000Z,1899-12-30T07:00:00.000Z,NUIT
845.0,23.66,133.51,0.1772,TCDD Taşımacılık A.Ş.,TR,JOUR_TCDD_372,Konya,Istanbul Halkali,1899-12-30T13:20:00.000Z,1899-12-30T19:43:00.000Z,JOUR
983.0,13.8,155.314,0.0889,VR-Yhtymä Oy,FI,VR IC 274,Kemijärvi,Helsinki / Helsingfors,1899-12-30T19:15:00.000Z,1899-12-30T09:15:00.000Z,NUIT
1209.0,19.3,191.022,0.101,Укрзалізниця,UA,UZ 086 L,Lviv,Zaporizhzhia 1,1899-12-30T10:48:00.000Z,1899-12-30T06:30:00.000Z,NUIT
917.0,15.2,144.886,0.1049,Укрзалізниця,UA,UZ 060 L,Chop,Kyiv Pasazhyrskyi,1899-12-30T14:30:00.000Z,1899-12-30T07:47:00.000Z,NUIT
1171.0,22.5,185.018,0.1216,Укрзалізниця,UA,UZ 009,Kyiv Pasazhyrskyi,Budapest Keleti,1899-12-30T10:16:00.000Z,1899-12-30T06:00:00.000Z,NUIT
874.0,4.37,138.092,0.0316,SNCF Voyageurs SA,FR,JOUR_SNCF_9711,Amsterdam Centraal,Paris Nord,1899-12-30T13:56:00.000Z,1899-12-30T19:42:00.000Z,JOUR
796.0,2.4,125.768,0.0191,SNCF Voyageurs SA,FR,SNCF IC Nuit 5787,Paris Austerlitz,Briançon,1899-12-30T20:51:00.000Z,1899-12-30T08:21:00.000Z,NUIT
621.0,3.105,98.118,0.0316,SNCF Voyageurs SA,FR,JOUR_SNCF_9790,Paris Montparnasse,Bordeaux Saint-Jean,1899-12-30T08:10:00.000Z,1899-12-30T12:17:00.000Z,JOUR
1847.0,30.4,291.826,0.1042,Merresor AB,DE,ST 304,Innsbruck Hbf,Malmö C,1899-12-30T18:00:00.000Z,1899-12-30T16:21:00.000Z,NUIT
435.0,10.44,68.73,0.1519,БДЖ - Пътнически превози ЕООД,BG,JOUR_BDZ_1231,Burgas,Sofia,1899-12-30T15:10:00.000Z,1899-12-30T18:42:00.000Z,JOUR
703.0,24.3,111.074,0.2188,PKP Intercity S.A.,PL,PKP TLK 53190,Łeba,Kraków Gł.,1899-12-30T21:20:00.000Z,1899-12-30T09:00:00.000Z,NUIT
459.0,9.5,72.522,0.131,C.F.R. Călători S.A.,RO,CFR 1838,Cluj-Napoca,Iași,1899-12-30T20:30:00.000Z,1899-12-30T05:10:00.000Z,NUIT
711.0,15.3,112.338,0.1362,Trenitalia S.p.A,IT,FS IC Notte 774,Roma Termini,Trieste Centrale,1899-12-30T22:35:00.000Z,1899-12-30T09:55:00.000Z,NUIT
647.0,12.7,102.226,0.1242,Trenitalia S.p.A,IT,FS IC Notte 789,Roma Termini,Lecce,1899-12-30T23:58:00.000Z,1899-12-30T08:10:00.000Z,NUIT
448.0,9.856,70.784,0.1392,Calea Ferată din Moldova,MD,JOUR_CFM_3371,Balti,Chisinau,1899-12-30T14:30:00.000Z,1899-12-30T17:59:00.000Z,JOUR
776.0,2.328,122.608,0.019,SJ AB,SE,JOUR_SJ_99,Stockholm C,Gothenburg C,1899-12-30T07:00:00.000Z,1899-12-30T10:03:00.000Z,JOUR
952.0,2.7,150.416,0.018,SNCF Voyageurs SA,FR,SNCF IC Nuit 5737,Paris Austerlitz,Cerbère,1899-12-30T20:10:00.000Z,1899-12-30T09:16:00.000Z,NUIT
712.0,17.088,112.496,0.1519,ÖBB-Personenverkehr AG,AT,JOUR_OBB_164,Venezia Santa Lucia,Wien Hauptbahnhof,1899-12-30T11:05:00.000Z,1899-12-30T16:37:00.000Z,JOUR
1139.0,24.0,179.962,0.1334,PKP Intercity S.A.,PL,PKP/ČD EN 407,Warszawa Wschodnia,München Hbf,1899-12-30T19:41:00.000Z,1899-12-30T10:24:00.000Z,NUIT
513.0,11.0,81.054,0.1357,БДЖ - Пътнически превози ЕООД,BG,BDŽ 3637,Sofia,Varna,1899-12-30T23:05:00.000Z,1899-12-30T07:16:00.000Z,NUIT
658.0,10.8,103.964,0.1039,Укрзалізниця,UA,UZ 038 K,Kyiv Pasazhyrskyi,Zaporizhzhia 1,1899-12-30T22:17:00.000Z,1899-12-30T07:34:00.000Z,NUIT
931.0,7.2,147.098,0.0489,Železničná spoločnosť Slovensko a.s.,SK,ZSSK EN 1152,Split,Bratislava Nové Mesto,1899-12-30T17:29:00.000Z,1899-12-30T11:00:00.000Z,NUIT
1221.0,21.9,192.918,0.1135,Укрзалізниця,UA,UZ 181 P,Dnipro Holovny,Ivano-Frankivsk,1899-12-30T14:35:00.000Z,1899-12-30T11:22:00.000Z,NUIT
542.0,18.97,85.848,0.221,MÁV-START Vasúti Személyszállító Zrt.,HU,JOUR_MAV_1851,Pecs,Budapest Keleti,1899-12-30T15:05:00.000Z,1899-12-30T19:40:00.000Z,JOUR
528.0,13.2,83.424,0.1582,Trenitalia S.p.A,IT,JOUR_FS_2271,Milano Centrale,Roma Termini,1899-12-30T14:00:00.000Z,1899-12-30T17:30:00.000Z,JOUR
529.0,16.0,83.582,0.1914,Укрзалізниця,UA,UZ 098,Kovel,Kyiv Pasazhyrskyi,1899-12-30T19:05:00.000Z,1899-12-30T06:04:00.000Z,NUIT
899.0,11.3,142.042,0.0796,VR-Yhtymä Oy,FI,VR IC 933,Turku / Åbo,Rovaniemi,1899-12-30T21:08:00.000Z,1899-12-30T11:03:00.000Z,NUIT
820.0,16.5,129.56,0.1274,Trenitalia S.p.A,IT,FS IC Notte 1955 (S),Roma Termini,Siracusa,1899-12-30T20:31:00.000Z,1899-12-30T09:01:00.000Z,NUIT
983.0,13.8,155.314,0.0889,VR-Yhtymä Oy,FI,VR IC 265,Helsinki / Helsingfors,Kemijärvi,1899-12-30T19:29:00.000Z,1899-12-30T08:50:00.000Z,NUIT
1127.0,22.54,178.066,0.1266,Укрзалізниця,UA,JOUR_UZ_502,Odesa Holovna,Kyiv Pasazhyrskyi,1899-12-30T08:10:00.000Z,1899-12-30T16:58:00.000Z,JOUR
542.0,18.97,85.848,0.221,MÁV-START Vasúti Személyszállító Zrt.,HU,JOUR_MAV_1850,Budapest Keleti,Pecs,1899-12-30T08:20:00.000Z,1899-12-30T12:55:00.000Z,JOUR
1197.0,22.9,189.126,0.1211,Укрзалізниця,UA,UZ 001 D,Kharkiv,Ivano-Frankivsk,1899-12-30T18:55:00.000Z,1899-12-30T11:28:00.000Z,NUIT
584.0,13.5,92.272,0.1463,Calea Ferată din Moldova,MD,CFM/CFR 402,București Nord,Chişinău,1899-12-30T19:10:00.000Z,1899-12-30T08:44:00.000Z,NUIT
849.0,18.0,134.142,0.1342,C.F.R. Călători S.A.,RO,CFR 1765,Timişoara Nord,Iași,1899-12-30T14:51:00.000Z,1899-12-30T08:13:00.000Z,NUIT
956.0,17.6,151.048,0.1165,Укрзалізниця,UA,UZ 043 L,Ivano-Frankivsk,Cherkasy,1899-12-30T20:04:00.000Z,1899-12-30T13:11:00.000Z,NUIT
1011.0,18.0,159.738,0.1127,ÖBB-Personenverkehr AG,AT,ÖBB NJ 471,Hamburg Altona,Zürich HB,1899-12-30T21:52:00.000Z,1899-12-30T10:05:00.000Z,NUIT
700.0,6.5,110.6,0.0588,HŽ Putnički prijevoz d.o.o.,HR,HŽPP 1841,Split,Vukovar,1899-12-30T21:11:00.000Z,1899-12-30T11:11:00.000Z,NUIT
424.0,11.6,66.992,0.1732,HŽ Putnički prijevoz d.o.o.,HR,HŽPP 1821,Zagreb Gl. K.,Split,1899-12-30T22:30:00.000Z,1899-12-30T07:01:00.000Z,NUIT
653.0,10.1,103.174,0.0979,Укрзалізниця,UA,UZ 106,Odesa Holovna,Kyiv Pasazhyrskyi,1899-12-30T21:30:00.000Z,1899-12-30T06:45:00.000Z,NUIT
491.0,15.512,77.578,0.2,RegioJet a.s.,CZ,JOUR_RJ_7731,Viden Hlavni,Praha Hlavni,1899-12-30T14:05:00.000Z,1899-12-30T18:40:00.000Z,JOUR
1157.0,24.7,182.806,0.1351,C.F.R. Călători S.A.,RO,CFR/MÁV/ÖBB D 347,Wien Hbf,București Nord,1899-12-30T19:42:00.000Z,1899-12-30T15:06:00.000Z,NUIT
915.0,18.8,144.57,0.13,České dráhy a.s.,CZ,ČD EC 458,Praha hl.n.,Zürich HB,1899-12-30T18:28:00.000Z,1899-12-30T08:30:00.000Z,NUIT
1036.0,16.6,163.688,0.1014,Укрзалізниця,UA,UZ 100,București Nord,Kyiv Pasazhyrskyi,1899-12-30T19:10:00.000Z,1899-12-30T19:37:00.000Z,NUIT
1077.0,19.2,170.166,0.1128,Укрзалізниця,UA,UZ 079,Dnipro Holovny,Lviv,1899-12-30T22:09:00.000Z,1899-12-30T12:59:00.000Z,NUIT
758.0,14.8,119.764,0.1236,C.F.R. Călători S.A.,RO,CFR 1641 (SM),București Nord,Satu Mare,1899-12-30T21:01:00.000Z,1899-12-30T10:39:00.000Z,NUIT
899.0,11.3,142.042,0.0796,VR-Yhtymä Oy,FI,VR IC 266 (T),Rovaniemi,Turku / Åbo,1899-12-30T17:52:00.000Z,1899-12-30T07:33:00.000Z,NUIT
754.0,9.4,119.132,0.0789,Укрзалізниця,UA,UZ 052 P/053,Dnipro Holovny,Odesa Holovna,1899-12-30T18:30:00.000Z,1899-12-30T08:00:00.000Z,NUIT
858.0,18.2,135.564,0.1343,C.F.R. Călători S.A.,RO,CFR/MÁV IRN / IC 78,București Nord,Budapest Keleti,1899-12-30T21:00:00.000Z,1899-12-30T12:50:00.000Z,NUIT
891.0,29.403,140.798,0.2088,PKP Intercity S.A.,PL,JOUR_PKP_46,Wien Hauptbahnhof,Warszawa Centralna,1899-12-30T14:44:00.000Z,1899-12-30T21:50:00.000Z,JOUR
867.0,17.7,136.986,0.1292,Trenitalia S.p.A,IT,FS IC Notte 1959 (P),Roma Termini,Palermo Centrale,1899-12-30T23:00:00.000Z,1899-12-30T11:57:00.000Z,NUIT
1110.0,17.9,175.38,0.1021,Укрзалізниця,UA,UZ 088 P,Zaporizhzhia 1,Kovel,1899-12-30T16:30:00.000Z,1899-12-30T13:40:00.000Z,NUIT
714.0,2.2,112.812,0.0195,SNCF Voyageurs SA,FR,SNCF IC Nuit 3750,Toulouse Matabiau,Paris Austerlitz,1899-12-30T19:44:00.000Z,1899-12-30T07:03:00.000Z,NUIT
743.0,18.575,117.394,0.1582,Trenitalia S.p.A,IT,JOUR_FS_511,Napoli Centrale,Milano Centrale,1899-12-30T13:05:00.000Z,1899-12-30T18:36:00.000Z,JOUR
606.0,13.0,95.748,0.1358,C.F.R. Călători S.A.,RO,CFR 1653,București Nord,Vatra Dornei Băi,1899-12-30T22:35:00.000Z,1899-12-30T07:34:00.000Z,NUIT
698.0,13.98,110.254,0.1268,Укрзалізниця,UA,JOUR_UZ_1720,Kyiv Pasazhyrskyi,Lviv,1899-12-30T07:05:00.000Z,1899-12-30T12:48:00.000Z,JOUR
389.0,9.336,61.462,0.1519,ÖBB-Personenverkehr AG,AT,JOUR_OBB_1041,Salzburg Hauptbahnhof,Wien Hauptbahnhof,1899-12-30T15:30:00.000Z,1899-12-30T18:18:00.000Z,JOUR
792.0,2.2,125.136,0.0176,SNCF Voyageurs SA,FR,SNCF IC Nuit 3755 (Sun),Paris Austerlitz,Albi Ville,1899-12-30T19:27:00.000Z,1899-12-30T09:02:00.000Z,NUIT
604.0,14.0,95.432,0.1467,C.F.R. Călători S.A.,RO,CFR 1821,București Nord,Arad,1899-12-30T23:28:00.000Z,1899-12-30T11:24:00.000Z,NUIT
703.0,24.3,111.074,0.2188,PKP Intercity S.A.,PL,PKP TLK 35190,Kraków Gł.,Łeba,1899-12-30T18:35:00.000Z,1899-12-30T06:39:00.000Z,NUIT
487.0,10.714,76.916,0.1393,C.F.R. Călători S.A.,RO,JOUR_CFR_7211,Timisoara Nord,Bucuresti Nord,1899-12-30T14:15:00.000Z,1899-12-30T17:57:00.000Z,JOUR
1045.0,16.72,165.11,0.1013,HŽ Putnički prijevoz d.o.o.,HR,JOUR_HZ_333,Zagreb,Dubrovnik,1899-12-30T07:10:00.000Z,1899-12-30T15:30:00.000Z,JOUR
745.0,15.645,118.01,0.1326,Железнице Србије ад,RS,JOUR_ZS_7450,Beograd Centar,Novi Sad,1899-12-30T07:20:00.000Z,1899-12-30T13:43:00.000Z,JOUR
899.0,12.1,142.042,0.0852,VR-Yhtymä Oy,FI,VR IC 266 (H),Rovaniemi,Helsinki / Helsingfors,1899-12-30T17:52:00.000Z,1899-12-30T06:27:00.000Z,NUIT
1029.0,18.5,162.582,0.1138,Укрзалізниця,UA,UZ 038 O/Š,Odesa Holovna,Uzhhorod,1899-12-30T14:45:00.000Z,1899-12-30T08:55:00.000Z,NUIT
444.0,9.1,70.152,0.1297,БДЖ - Пътнически превози ЕООД,BG,BDŽ 8626,Burgas,Sofia,1899-12-30T21:45:00.000Z,1899-12-30T05:20:00.000Z,NUIT
606.0,15.5,95.748,0.1619,C.F.R. Călători S.A.,RO,CFR 1641/R 4112,București Nord,Sighetu Marmației,1899-12-30T21:01:00.000Z,1899-12-30T10:00:00.000Z,NUIT
917.0,15.2,144.886,0.1049,Укрзалізниця,UA,UZ 059 K,Kyiv Pasazhyrskyi,Chop,1899-12-30T20:37:00.000Z,1899-12-30T12:59:00.000Z,NUIT
995.0,17.0,157.21,0.1081,MÁV-START Vasúti Személyszállító Zrt.,HU,MÁV EN 40457,Berlin Hbf,Budapest Nyugati,1899-12-30T19:21:00.000Z,1899-12-30T08:29:00.000Z,NUIT
611.0,15.275,96.502,0.1583,České dráhy a.s.,CZ,JOUR_CD_9121,Ostrava Hlavni,Praha Hlavni,1899-12-30T13:45:00.000Z,1899-12-30T18:55:00.000Z,JOUR
1139.0,24.0,179.962,0.1334,PKP Intercity S.A.,PL,PKP/ČD EN 406,München Hbf,Warszawa Wschodnia,1899-12-30T18:35:00.000Z,1899-12-30T08:15:00.000Z,NUIT
1358.0,25.7,214.564,0.1198,Trenitalia S.p.A,IT,FS IC Notte 794,Reggio Calabria Centrale,Torino Lingotto,1899-12-30T21:43:00.000Z,1899-12-30T14:32:00.000Z,NUIT
1339.0,30.5,211.562,0.1442,TCDD Taşımacılık A.Ş.,TR,TCDD 22010,Ankara,Kars,1899-12-30T17:55:00.000Z,1899-12-30T20:20:00.000Z,NUIT
1160.0,19.8,183.28,0.108,Укрзалізниця,UA,UZ 094,Chelm,Kharkiv,1899-12-30T16:42:00.000Z,1899-12-30T13:53:00.000Z,NUIT
587.0,11.74,92.746,0.1266,Укрзалізниця,UA,JOUR_UZ_3311,Ivano-Frankivsk,Lviv,1899-12-30T13:10:00.000Z,1899-12-30T18:55:00.000Z,JOUR
931.0,7.2,147.098,0.0489,Železničná spoločnosť Slovensko a.s.,SK,ZSSK EN 1153,Bratislava Nové Mesto,Split,1899-12-30T15:26:00.000Z,1899-12-30T08:20:00.000Z,NUIT
1477.0,25.8,233.366,0.1106,Укрзалізниця,UA,UZ/ÖBB 40749,Kyiv Pasazhyrskyi,Wien Hbf,1899-12-30T13:20:00.000Z,1899-12-30T11:20:00.000Z,NUIT
578.0,19.074,91.244,0.209,PKP Intercity S.A.,PL,JOUR_PKP_1103,Gdansk Glowny,Warszawa Centralna,1899-12-30T14:30:00.000Z,1899-12-30T17:58:00.000Z,JOUR
667.0,16.675,105.394,0.1582,Trenitalia S.p.A,IT,JOUR_FS_731,Roma Termini,Venezia Santa Lucia,1899-12-30T12:25:00.000Z,1899-12-30T17:34:00.000Z,JOUR
1400.0,25.0,221.2,0.113,Укрзалізниця,UA,UZ 017 L/045 L,Uzhhorod,Kharkiv,1899-12-30T13:38:00.000Z,1899-12-30T08:50:00.000Z,NUIT
712.0,17.088,112.496,0.1519,ÖBB-Personenverkehr AG,AT,JOUR_OBB_163,Wien Hauptbahnhof,Venezia Santa Lucia,1899-12-30T09:25:00.000Z,1899-12-30T14:57:00.000Z,JOUR
469.0,13.7,74.102,0.1849,Железнице Србије ад,RS,ŽS/ŽPCG 433,Beograd Centar,Bar,1899-12-30T19:54:00.000Z,1899-12-30T06:54:00.000Z,NUIT
1314.0,1.5,207.612,0.0072,Merresor AB,DE,ST 3921,Storlien,Malmö C,1899-12-30T15:25:00.000Z,1899-12-30T07:15:00.000Z,NUIT
1073.0,20.6,169.534,0.1215,Укрзалізниця,UA,UZ 149,Poltava,Chernivtsi,1899-12-30T17:24:00.000Z,1899-12-30T12:25:00.000Z,NUIT
1115.0,19.2,176.17,0.109,Укрзалізниця,UA,UZ 021,Kharkiv,Lviv,1899-12-30T19:38:00.000Z,1899-12-30T11:30:00.000Z,NUIT
412.0,10.3,65.096,0.1582,Trenitalia S.p.A,IT,JOUR_FS_5471,Torino Porta Nuova,Roma Termini,1899-12-30T06:45:00.000Z,1899-12-30T10:37:00.000Z,JOUR
989.0,13.9,156.262,0.089,VR-Yhtymä Oy,FI,VR P 276,Kolari,Helsinki / Helsingfors,1899-12-30T19:42:00.000Z,1899-12-30T10:38:00.000Z,NUIT
1185.0,24.7,187.23,0.1319,PKP Intercity S.A.,PL,PKP/ČD EN 40416,München Hbf,Przemyśl Gł.,1899-12-30T18:35:00.000Z,1899-12-30T10:10:00.000Z,NUIT
584.0,13.5,92.272,0.1463,Calea Ferată din Moldova,MD,CFM/CFR 401,Chişinău,București Nord,1899-12-30T17:05:00.000Z,1899-12-30T06:47:00.000Z,NUIT
796.0,2.4,125.768,0.0191,SNCF Voyageurs SA,FR,SNCF IC Nuit 5792,Briançon,Paris Austerlitz,1899-12-30T19:58:00.000Z,1899-12-30T08:08:00.000Z,NUIT
647.0,12.7,102.226,0.1242,Trenitalia S.p.A,IT,FS IC Notte 788,Lecce,Roma Termini,1899-12-30T22:15:00.000Z,1899-12-30T06:10:00.000Z,NUIT
919.0,15.6,145.202,0.1074,Укрзалізниця,UA,UZ 007 K,Kyiv Pasazhyrskyi,Chernivtsi,1899-12-30T20:21:00.000Z,1899-12-30T08:05:00.000Z,NUIT
1265.0,1.4,199.87,0.007,Merresor AB,DE,ST 3905,Duved,Malmö C,1899-12-30T18:30:00.000Z,1899-12-30T08:55:00.000Z,NUIT
1439.0,16.1,227.362,0.0708,SJ AB,SE,SJ EN 346,Berlin Hbf,Stockholm C,1899-12-30T18:34:00.000Z,1899-12-30T09:55:00.000Z,NUIT
540.0,11.6,85.32,0.136,Укрзалізниця,UA,UZ 024,Chelm,Kyiv Pasazhyrskyi,1899-12-30T16:42:00.000Z,1899-12-30T05:39:00.000Z,NUIT
1009.0,20.3,159.422,0.1273,Trenitalia S.p.A,IT,FS IC Notte 797,Torino Porta Susa,Salerno,1899-12-30T20:40:00.000Z,1899-12-30T09:46:00.000Z,NUIT
851.0,19.4,134.458,0.1443,TCDD Taşımacılık A.Ş.,TR,TCDD 52019,Malatya,Ankara,1899-12-30T15:30:00.000Z,1899-12-30T07:23:00.000Z,NUIT
1052.0,1.1,166.216,0.0066,SJ AB,SE,SJ Nattåg 92,Stockholm C,Luleå C,1899-12-30T21:55:00.000Z,1899-12-30T11:53:00.000Z,NUIT
776.0,2.328,122.608,0.019,SJ AB,SE,JOUR_SJ_100,Gothenburg C,Stockholm C,1899-12-30T14:57:00.000Z,1899-12-30T18:00:00.000Z,JOUR
1481.0,16.1,233.998,0.0688,Merresor AB,DE,ST 300,Stockholm C,Berlin Hbf,1899-12-30T16:20:00.000Z,1899-12-30T07:46:00.000Z,NUIT
482.0,0.16,76.156,0.0021,Vygruppen AS,NO,VY 605,Oslo S,Bergen,1899-12-30T23:03:00.000Z,1899-12-30T06:27:00.000Z,NUIT
564.0,11.2,89.112,0.1257,Укрзалізниця,UA,UZ 091,Kyiv Pasazhyrskyi,Lviv,1899-12-30T22:57:00.000Z,1899-12-30T06:33:00.000Z,NUIT
760.0,26.1,120.08,0.2174,PKP Intercity S.A.,PL,PKP IC 83192,Szczecin Gł.,Zakopane,1899-12-30T21:30:00.000Z,1899-12-30T09:27:00.000Z,NUIT
1337.0,22.6,211.246,0.107,Укрзалізниця,UA,UZ 015,Kharkiv,Yasinia,1899-12-30T14:07:00.000Z,1899-12-30T10:06:00.000Z,NUIT
919.0,15.6,145.202,0.1074,Укрзалізниця,UA,UZ 008 L,Chernivtsi,Kyiv Pasazhyrskyi,1899-12-30T19:12:00.000Z,1899-12-30T07:02:00.000Z,NUIT
817.0,13.8,129.086,0.1069,Укрзалізниця,UA,UZ 065 K,Kharkiv,Uman,1899-12-30T18:13:00.000Z,1899-12-30T09:03:00.000Z,NUIT
1168.0,12.8,184.544,0.0694,ÖBB-Personenverkehr AG,AT,ÖBB NJ 40424,Berlin Ostbahnhof,Paris Est,1899-12-30T18:55:00.000Z,1899-12-30T09:38:00.000Z,NUIT
677.0,6.5,106.966,0.0608,HŽ Putnički prijevoz d.o.o.,HR,HŽPP 1880,Osijek,Split,1899-12-30T19:48:00.000Z,1899-12-30T09:21:00.000Z,NUIT
989.0,13.9,156.262,0.089,VR-Yhtymä Oy,FI,VR P 269,Helsinki / Helsingfors,Kolari,1899-12-30T20:29:00.000Z,1899-12-30T10:55:00.000Z,NUIT
448.0,9.856,70.784,0.1392,Calea Ferată din Moldova,MD,JOUR_CFM_3370,Chisinau,Balti,1899-12-30T08:00:00.000Z,1899-12-30T11:29:00.000Z,JOUR
903.0,5.3,142.674,0.0371,HŽ Putnički prijevoz d.o.o.,HR,HŽPP/ÖBB EN 40465,Zürich HB,Zagreb Gl. K.,1899-12-30T19:40:00.000Z,1899-12-30T10:39:00.000Z,NUIT
1358.0,25.7,214.564,0.1198,Trenitalia S.p.A,IT,FS IC Notte 795,Torino Lingotto,Reggio Calabria Centrale,1899-12-30T15:29:00.000Z,1899-12-30T08:45:00.000Z,NUIT
1107.0,16.2,174.906,0.0926,European Sleeper Cooperatïe,NL,ES 457,Milano Centrale,Bruxelles Midi / Brussel Zuid,,,NUIT
